Municipios,OcupHot,ABOccuRate,SharePernoc,ShABRentals,TourOv,TourC,Pop,GDPpc,MovA,S.S,AccAward,Pop.D,InfoWAcc,BookHSR,SmrtF,InnC
Adeje,80.8,71,4.229553921941771,0.30378082818141117,8.54,22.65,47.28,20725,16845622,1,0,4.8,0,12.61595547,1,2.09
Albacete,35.43,53,0.12296472411758394,0.10457392707790415,8.61,7.84,173.05,24515,1380,0,0,8.8,1,18.75,1,1.07
Albarracín,32.67,35,0.03178493180535585,0.00152414338378883,6.83,13.95,1.016,21905,0,0,0,6,0,15.90909091,0,0
Alcúdia,79.52,77,1.5407979217454535,0.22521259758940393,6.86,27.27,19.793,23135,29081787,1,0,5.2,0,2.878787879,0,0
Alicante,65.53,51,0.7908782415005647,1.1213340609303535,9.87,10.8,331.577,25874,13981320,1,0,6,0,23.07116105,1,1.62
Almería,59.4,48,0.34841241838184284,0.45250728390844797,9.03,9.29,196.851,23234,992043,1,0,6.5,1,14.87603306,1,1.29
Almuñecar,55.7,41,0.38191508695000465,0.2141693622684697,9.03,16.75,26.377,18487,1126389,1,0,6.6,0,23.56321839,1,0.61
Arcos de la Frontera,33.07,22,0.041450344302958866,0.039654944824648666,9.03,11.67,30.741,16531,1133621,0,0,8.9,0,8.045977011,0,0.07
Arona,82.87,75,2.4522499890616403,0.6616687464873259,8.54,21.43,79.448,18311,16845622,1,1,4.8,1,17.69436997,1,1.46
Ávila,44.26,35,0.18481066760781217,0.16917311138902538,4.83,9.27,57.657,24279,0,0,1,8.2,1,16.03773585,1,0.93
Barbate,49.61,25,0.08222587817138129,0.10700303059581759,9.03,17.17,22.551,17320,1133621,1,0,8.9,0,14.92537313,0,0.46
Barcelona,68.32,70,8.11589439263693,10.819587691997839,5.82,8.67,1620.343,34669,50172457,1,0,7.2,1,13.95663957,1,2.86
Benalmádena,72.58,54,1.3508431127738167,1.694697750119414,9.03,17.5,67.746,23633,19021704,1,0,7.6,0,26.06761566,1,1.17
Benasque,56.88,39,0.09935625228109218,0.006293895669663695,6.83,27.31,2.157,21942,2972,0,0,11,0,15.45454545,0,0.4
Benicassim,60.51,32,0.16267630824163337,0.3403058357000649,9.87,13.88,18.055,32074,0,1,0,8.8,0,21.05263158,0,0.76
Benidorm,77.16,44,4.801896226389972,1.19396901906404,9.87,21.52,67.558,20433,13981320,1,0,6,1,16.50190114,1,0.59
Bilbao,60.18,54,0.7203211837142923,5.6563410488556,4.84,10.98,345.821,32986,5469453,0,1,5.4,1,23.84937238,1,2.02
Burgos,52.21,37,0.3050419354081016,1.117652982490042,4.83,8.28,175.921,26232,10341,0,1,6.8,0,17.30769231,1,0.85
Cáceres,47.77,35,0.17768043175797896,0.03735512132589588,4.09,10.22,96.068,25090,0,0,1,8.7,0,13.66906475,1,1.74
Calella,76.68,70,0.7886254381867335,1.5928659202900228,5.82,17.81,18.728,23784,50172457,1,0,7.2,0,7.03125,0,0.93
Calvia,76.44,41,3.5358442607760034,0.2314996890475329,6.86,16.99,49.333,27846,29081787,1,0,5.2,0,13.33333333,1,0.69
Cambrils,71.46,96,0.4932233573978347,0.634084472925362,5.82,14.49,33.362,28246,1037576,1,0,7.1,0,12.23404255,0,1.19
Cangas de Onís,47.17,19,0.12401713159429228,0.02007242402757611,10.4,29.17,6.278,18339,1400481,0,0,11.9,0,19.79166667,0,0
Capdepera,77.53,54,1.2466057179421164,0.14376618551818834,6.86,21.15,11.6,19419,29081787,1,0,5.2,0,6.451612903,1,0.7
Cartagena,57.52,38,0.46003604007122467,0.26083264497393305,12.1,9.79,213.943,24712,1273424,1,0,10.6,1,22.98850575,0,0.83
Castell-Platja d'Aro,48.83,48,0.31096930207774093,0.3334403862614804,9.87,16.08,10.585,27101,2019876,1,0,5.6,0,10.81081081,0,0.9
Castellón de la Plana,43.05,51,0.18324133142926588,1.0816382908364963,5.82,8.76,170.888,25495,0,1,0,8.8,0,28.35820896,0,1.37
Cazorla,36.29,23,0.042016327642371544,0.016874444606233475,9.03,17.7,7.574,17730,1126389,0,0,6.6,0,14.60674157,0,0.39
Chiclana de la Frontera,67.77,29,0.8666425108989717,0.27770708958016654,9.03,10.25,83.831,21342,1133621,1,0,8.9,0,17.04035874,1,0.87
Ciudatella de Menorca,79.85,70,0.8195776778248544,0.10690096742279602,6.86,13.2,29.223,21088,3442752,1,0,5.2,0,18.4,0,0.46
Conil de la Frontera,65.06,44,0.35358170540022227,0.039654944824648666,9.03,15.82,22.427,19287,1133621,1,0,8.9,0,6.201550388,1,0.62
Córdoba,60.81,48,0.6690178650641799,0.176868674634852,9.03,9.58,325.708,24233,8255,0,0,6.7,1,28.18073722,1,1.13
Coruña (A),49.22,45,0.3901570905102501,4.407434825859815,10.04,10.17,244.85,27290,3950513,1,0,8.2,0,25.21008403,0,1.58
Cuenca,43.34,31,0.13726023484408947,0.040995374496998666,8.61,11.96,54.898,24536,0,0,0,10.4,0,11.64021164,0,1
Denia,58.21,50,0.18576372913783556,0.42894429936353407,9.87,12.14,41.733,22071,13981320,1,0,6,0,6.297229219,1,1.21
Donostia-San Sebastián,63.25,51,0.5417458139884584,2.088995004347891,4.84,6.34,186.665,39337,289444,1,0,11.6,1,14.65517241,1,1.51
El Puerto de Santa María,48.23,25,0.21377598831223382,0.3774296138337786,9.03,13.46,88.364,25938,1133621,0,0,8.9,0,20.33195021,1,0.97
Elche,54.22,36,0.1484694256418385,0.4813571408158795,9.87,7.34,230.625,19495,13981320,1,1,6,0,16.12903226,1,1.03
Estepona,69.65,41,0.5308016831231509,0.33282120301181617,9.03,11.99,67.012,20949,19021704,1,0,7.6,0,18.564920269999998,1,0.91
Fuengirola,64.79,51,1.07794350724483,4.947063234259478,9.03,17.62,75.396,21787,19021704,1,0,7.6,0,20.02923977,0,1.13
Gandía,65.6,32,0.46027883991602736,0.8262286024557761,9.87,12.76,73.829,20810,7769867,1,0,10.5,0,16.98113208,1,1.28
Gijón,48.13,34,0.3447077626853376,1.0185428372745597,10.4,10.78,271.843,25931,1400481,1,0,11.9,1,21.64948454,1,1.26
Granada,63.2,61,1.3434593592592068,1.7954477103147766,9.03,13.61,232.208,27457,1126389,0,0,6.6,1,20.27027027,1,1.42
Grove (O),47.65,30,0.13761227400786108,0.3339711147611926,10.04,19.66,10.7,17544,1129689,1,0,9,0,8.536585366,1,0.54
Ibiza,77.13,32,0.634557600503698,3.048225529673847,6.86,13.26,49.727,27508,8104316,1,0,5.2,1,10.58823529,1,0.78
Jaca,58.56,29,0.16959589770658687,0.021460483180669506,6.83,16.08,12.813,24295,2972,0,0,11,0,23.28767123,1,0.37
Jerez de la Frontera,53.09,45,0.2778520628048091,0.12192466649157162,9.03,10.69,212.879,22610,1133621,0,1,8.9,0,25.44169611,1,0.91
Las Palmas de Gran Canaria,65.38,72,0.5464410435848971,2.562697407187153,8.54,9.68,378.517,26709,28439431,1,0,3.9,0,16.32,1,1.78
León,53.39,35,0.30268030499914655,2.176857787896397,4.83,12.26,124.772,26273,55946,0,0,8.2,0,27.12765957,1,1.49
Lérida,43.25,57,0.12799591614783282,0.4430834509327894,5.82,8.84,137.856,26053,45500,0,1,6.6,0,21.21212121,0,1.43
Llanes,40.16,18,0.09838216733496534,0.03520499048090807,10.4,10.81,13.639,19830,1400481,1,0,11.9,0,13.51351351,0,0
Lloret de mar,69.92,83,2.0557693847665464,0.5218421994477702,5.82,18.09,37.35,22200,2019876,1,0,5.6,0,7.359813084,1,0.63
Llucmayor,84.42,61,0.7722350058790952,0.075656028055125,6.86,10.48,36.358,25806,29081787,1,0,5.2,1,7.96460177,1,0.73
Logroño,54.45,35,0.21699421987144335,1.2709586725799802,6.29,8.4,151.113,26061,21381,0,1,5.9,1,23.72881356,1,0.96
Lugo,48.25,29,0.11743845124929095,0.20224157944801519,10.04,8.82,98.025,23582,0,0,1,6.3,0,18.66666667,1,0.9
Madrid,62.78,74,7.9690680912419225,3.629366432647151,5.4,7.52,3223.334,36442,57891340,0,0,5.2,1,10.90955544,1,3.26
Málaga,65.66,67,1.0243325595094794,0.9762274457398152,9.03,9.82,571.026,24463,19021704,1,1,7.6,0,18.68308351,1,1.69
Marbella,53.13,41,1.160459591003208,0.8421232406010025,9.03,11.67,141.463,24182,19021704,1,0,7.6,0,23.52941176,1,1.17
Mérida,52.38,32,0.14876663903420306,0.0466564784939286,4.09,10.2,59.352,23068,52071,0,0,8.6,1,36.76470588,1,1.26
Mogán,77.86,66,1.8539998281686125,0.07758161991946536,8.54,31.66,19.657,20014,28439431,1,0,3.9,0,14.28571429,1,0.96
Mojácar,42.86,29,0.40261820512576774,0.059543655140785946,9.03,23.8,6.301,20732,992043,1,0,6.5,0,16.92307692,0,0.83
Monachil,60.17,35,0.15372651633923823,0.05989747414059407,9.03,20.45,7.826,22946,1126389,0,0,6.6,0,19.44444444,0,1.2
Murcia,45.78,46,0.3123444808252141,0.3450211542936616,12.1,7.89,447.182,25049,1273424,0,0,10.6,0,27.82608696,1,1.31
Muro,84.17,66,1.2478407405822332,0.08048021403327804,6.86,10.17,6.931,21692,29081787,1,0,5.2,0,5,1,0.17
Naut Arán,47,41,0.11696521827504057,0.004892228093500754,5.82,38.95,1.79,24593,45500,0,0,6.6,0,8,0,0.37
